x,y,row,col,name,index,mapped_row,mapped_col
-44.95162582397461,82.51750946044922,338,132,1_JUNGERSEN_HENSON_NARAVANA,1,340,132
-43.92713928222656,82.2770767211914,337,133,2_JUNGERSEN_HENSON_NARAVANA,2,340,132
-33.16399383544922,81.79942321777344,329,144,3_MARIE_SOPHIE_GLETSCHER,3,330,146
-27.86830711364746,81.42491912841797,325,150,4_HAGEN_BRAE,4,331,150
-45.23979949951172,81.8187484741211,333,129,5_BRIKKERNE_GLETSCHER,5,333,129
-32.31163024902344,81.59588623046875,328,145,6_ACADEMY,6,330,146
-44.779640197753906,81.64785766601562,331,129,7_HARDER_GLETSCHER,7,333,129
-50.137184143066406,81.54793548583984,333,122,8_RYDER_GLETSCHER,8,337,124
-45.03218078613281,81.5523681640625,332,129,9_OSTENFELD_GLETSCHER,9,333,129
-54.090118408203125,81.44158935546875,335,117,10_STEENSBY_GLETSCHER,10,338,123
-45.468719482421875,81.5337142944336,331,128,15_OSTENFELD_GLETSCHER,11,333,129
-45.7428092956543,81.52961730957031,332,128,17_OSTENFELD_GLETSCHER,12,333,129
-50.4698371887207,81.48064422607422,334,122,20_RYDER_GLETSCHER,13,337,124
-50.52436828613281,81.46878814697266,334,122,21_RYDER_GLETSCHER,14,337,124
-60.070682525634766,80.83233642578125,335,107,22_PETERMANN_GLETSCHER_N,15,340,108
-59.50950622558594,80.67770385742188,334,107,23_PETERMANN_GLETSCHER_N,16,340,108
-59.73045349121094,80.51087951660156,332,105,24_PETERMANN_GLETSCHER,17,340,107
-64.15953063964844,79.65485382080078,331,95,25_HUMBOLDT_GLETSCHER,18,332,95
-22.745378494262695,79.32574462890625,308,156,26_NIOGHALVFJERDSFJORDEN,19,305,160
-64.7540054321289,79.41071319580078,330,92,27_HUMBOLDT_GLETSCHER,20,331,92
-21.04398536682129,78.92596435546875,306,159,28_ZACHARIAE_ISSTROM,21,305,160
-71.67088317871094,77.9991226196289,329,73,29_DIEBITSCH,22,330,73
-71.41580963134766,77.97457885742188,329,74,30_DIEBITSCH,23,330,73
-70.97541809082031,77.9200439453125,328,74,31_MORRIS_JESUP,24,327,75
-68.57341003417969,77.7332763671875,323,76,32_BOWDOIN,25,323,76
-66.5889663696289,77.77188873291016,321,79,33_MELVILLE_GLETSCHER,26,321,80
-66.93126678466797,77.74684143066406,322,79,34_SHARP,27,321,80
-66.20428466796875,77.74891662597656,321,80,35_FARQUHAR_GLETSCHER,28,321,80
-65.84555053710938,77.65696716308594,320,80,36_TRACY_GLETSCHER,29,321,80
-65.80575561523438,77.52149200439453,319,79,37_HEILPRIN_GLETSCHER,30,320,79
-67.59257507324219,76.5746078491211,315,71,43_HARALD_MOLTKE_BRAE,31,313,71
-66.99503326416016,76.3680191040039,312,70,44_SAVISSUAQ_WW,32,313,71
-66.74112701416016,76.36064147949219,312,70,45_SAVISSUAQ_WW,33,313,71
-67.6925048828125,76.21931457519531,312,68,46_SAVISSUAQ_WWWW,34,312,68
-66.03813934326172,76.34149932861328,311,72,47_SAVISSUAQ_W,35,311,73
-65.99771118164062,76.34712219238281,311,72,48_SAVISSUAQ_W,36,311,73
-65.42591857910156,76.37669372558594,311,73,49_SAVISSUAQ,37,311,73
-64.39872741699219,76.41000366210938,310,75,50_YNGVAR_NIELSEN_BRAE_W,38,311,73
-64.23194885253906,76.40829467773438,309,75,51_YNGVAR_NIELSEN_BRAE,39,308,74
-63.49458312988281,76.45970916748047,309,77,52_CARLOS,40,308,78
-63.746978759765625,76.41860961914062,309,76,54_CARLOS,41,308,78
-64.65673828125,76.33623504638672,309,74,55_HELLAND,42,310,73
-62.75511169433594,76.39191436767578,308,78,56_GADE-MORELL,43,308,78
-62.40544509887695,76.3549575805664,307,78,57_GADE-MORELL,44,307,79
-62.079124450683594,76.37120819091797,307,79,58_DOCKER_SMITH_GLETSCHER_W,45,307,79
-61.84068298339844,76.3616943359375,306,79,59_DOCKER_SMITH_GLETSCHER_W,46,307,79
-61.67288589477539,76.29943084716797,305,79,60_DOCKER_SMITH_GLETSCHER,47,305,80
-61.391780853271484,76.2926025390625,306,80,61_DOCKER_SMITH_GLETSCHER,48,307,79
-60.892635345458984,76.28324890136719,305,81,63_RINK_GLETSCHER,49,305,80
-60.57917022705078,76.21341705322266,304,81,64_ISSUUARSUIT_SERMIA,50,303,82
-60.56903839111328,76.12333679199219,303,80,66_ISSUUARSUIT_SERMIA,51,304,80
-60.575016021728516,76.0945816040039,303,80,68_ISSUUARSUIT_SERMIA,52,304,80
-59.932106018066406,76.12347412109375,303,82,69_NONAME_NORTH_OSCAR,53,303,82
-59.637638092041016,76.04048156738281,302,82,70_KONG_OSCAR_GLETSCHER,54,303,82
-59.4213981628418,76.02767944335938,301,82,74_KONG_OSCAR_GLETSCHER,55,302,82
-59.300113677978516,75.99384307861328,301,82,75_NORDENSKIOLD_GLESCHER_NW,56,302,82
-58.93809509277344,75.87520599365234,300,82,76_NORDENSKIOLD_GLESCHER_NW,57,301,82
-58.37124252319336,75.78157806396484,299,83,86_NANSEN_GLETSCHER,58,299,83
-58.17564392089844,75.72002410888672,298,83,87_SVERDRUP_GLETSCHER,59,299,83
-58.02458953857422,75.631591796875,297,83,88_SVERDRUP_GLETSCHER,60,298,83
-57.83657455444336,75.50052642822266,296,83,89_STEENSTRUP-DIETRICHSON,61,297,83
-57.846004486083984,75.42910766601562,295,82,90_STEENSTRUP-DIETRICHSON,62,296,82
-57.84538269042969,75.33030700683594,295,82,91_STEENSTRUP-DIETRICHSON,63,296,82
-57.49409866333008,75.130615234375,294,82,92_KJER_GLETSCHER,64,295,82
-57.55997848510742,75.07286834716797,292,81,93_HAYES_GLETSCHER_N_NN,65,292,82
-57.4621696472168,75.05985260009766,292,81,96_HAYES_GLETSCHER_N_NN,66,292,82
-57.395042419433594,75.04878234863281,293,82,97_HAYES_GLETSCHER_N_NN,67,295,82
-57.26945114135742,75.0279769897461,293,82,99_HAYES_GLETSCHER_N_NN,68,295,82
-56.822792053222656,74.9468002319336,291,82,100_HAYES_GLETSCHER_N_NN,69,291,83
-56.44061279296875,74.82268524169922,289,82,101_HAYES_GLETSCHER_M_SS,70,290,83
-56.231483459472656,74.77997589111328,290,83,108_HAYES_GLETSCHER_M_SS,71,291,83
-56.14422607421875,74.70123291015625,289,83,109_HAYES_GLETSCHER_M_SS,72,290,83
-55.925209045410156,74.66997528076172,288,83,110_ALISON_GLETSCHER,73,290,83
-24.25254249572754,73.85916900634766,267,152,111_WALTERSHAUSEN,74,264,155
-55.888633728027344,74.58126068115234,288,83,112_ALISON_GLETSCHER,75,290,83
-25.987520217895508,73.96758270263672,268,148,113_ADOLF_HOEL,76,262,152
-55.92862319946289,74.42581176757812,287,82,114_ILLULLIP_SERMIA,77,288,81
-55.90138244628906,74.25357818603516,285,81,115_CORNELL_GLETSCHER,78,286,81
-55.96308898925781,74.18753814697266,285,81,116_CORNELL_GLETSCHER,79,286,81
-27.239036560058594,73.55135345458984,265,145,117_GERARD_DE_GEER,80,261,151
-55.707942962646484,74.00526428222656,284,81,118_USSING_BRAEER_N,81,286,81
-55.5820426940918,73.967529296875,283,81,119_USSING_BRAEER_N,82,284,80
-27.601043701171875,73.46049499511719,264,144,120_JAETTEGLETSCHER,83,261,151
-55.42631149291992,73.85389709472656,282,81,121_USSING_BRAEER,84,284,80
-55.49103546142578,73.81187438964844,281,80,122_USSING_BRAEER,85,281,80
-55.43889236450195,73.62300872802734,281,80,123_QEQERTARSUUP_SERMIA,86,281,80
